artist_name,geo_point,venue_city_name,venue_city_coords_long,venue_city_coords_lat,festival_name,eventDate,row_number
Death Cab for Cutie,POINT(-122.3320708 47.6062095),Seattle,-122.3320708,47.6062095,Fuji Rock,2018-12-11,1
Death Cab for Cutie,POINT(-122.6762071 45.5234515),Portland,-122.6762071,45.5234515,Fuji Rock,2018-12-12,2
Death Cab for Cutie,POINT(-117.1572551 32.7153292),San Diego,-117.1572551,32.7153292,Fuji Rock,2018-12-14,3
Death Cab for Cutie,POINT(-74.0059729 40.7142691),New York,-74.0059729,40.7142691,Fuji Rock,2019-01-21,4
Death Cab for Cutie,POINT(-6.2488889 53.3330556),Dublin,-6.2488889,53.3330556,Fuji Rock,2019-01-24,5
Death Cab for Cutie,POINT(-2.23743438720703 53.4809464283615),Manchester,-2.23743438720703,53.4809464283615,Fuji Rock,2019-01-25,6
Death Cab for Cutie,POINT(-4.25 55.8333333),Glasgow,-4.25,55.8333333,Fuji Rock,2019-01-26,7
Death Cab for Cutie,POINT(-1.15047454833984 52.9536023000285),Nottingham,-1.15047454833984,52.9536023000285,Fuji Rock,2019-01-28,8
Death Cab for Cutie,POINT(0.6166667 51.2333333),Leeds,0.6166667,51.2333333,Fuji Rock,2019-01-29,9
Death Cab for Cutie,POINT(-2.5833333 51.45),Bristol,-2.5833333,51.45,Fuji Rock,2019-01-30,10
Death Cab for Cutie,POINT(-0.125532746315002 51.5084152563931),London,-0.125532746315002,51.5084152563931,Fuji Rock,2019-02-01,11
Death Cab for Cutie,POINT(2.3488 48.85341),Paris,2.3488,48.85341,Fuji Rock,2019-02-02,12
Death Cab for Cutie,POINT(5.083 51.117),Borgerhout,5.083,51.117,Fuji Rock,2019-02-03,13
Death Cab for Cutie,POINT(5.122222 52.090833),Utrecht,5.122222,52.090833,Fuji Rock,2019-02-05,14
Death Cab for Cutie,POINT(6.95 50.9333333),Cologne,6.95,50.9333333,Fuji Rock,2019-02-06,15
Death Cab for Cutie,POINT(13.4 52.5166667),Berlin,13.4,52.5166667,Fuji Rock,2019-02-07,16
Death Cab for Cutie,POINT(10 53.55),Hamburg,10,53.55,Fuji Rock,2019-02-09,17
Death Cab for Cutie,POINT(12.5709342956543 55.6776812020993),Copenhagen,12.5709342956543,55.6776812020993,Fuji Rock,2019-02-10,18
Death Cab for Cutie,POINT(18.0649030208588 59.3325765361753),Stockholm,18.0649030208588,59.3325765361753,Fuji Rock,2019-02-11,19
Death Cab for Cutie,POINT(10.7413673400879 59.912697157616),Oslo,10.7413673400879,59.912697157616,Fuji Rock,2019-02-12,20
Death Cab for Cutie,POINT(144.963322877884 -37.8139965641595),Melbourne,144.963322877884,-37.8139965641595,Fuji Rock,2019-03-06,21
Death Cab for Cutie,POINT(144.963322877884 -37.8139965641595),Melbourne,144.963322877884,-37.8139965641595,Fuji Rock,2019-03-07,22
Death Cab for Cutie,POINT(149.128074645996 -35.2834624726481),Canberra,149.128074645996,-35.2834624726481,Fuji Rock,2019-03-09,23
Death Cab for Cutie,POINT(151.207323074341 -33.8678499639382),Sydney,151.207323074341,-33.8678499639382,Fuji Rock,2019-03-11,24
Death Cab for Cutie,POINT(151.207323074341 -33.8678499639382),Sydney,151.207323074341,-33.8678499639382,Fuji Rock,2019-03-12,25
Death Cab for Cutie,POINT(174.7666667 -36.8666667),Auckland,174.7666667,-36.8666667,Fuji Rock,2019-03-14,26
Death Cab for Cutie,POINT(-115.137223 36.1749705),Las Vegas,-115.137223,36.1749705,Fuji Rock,2019-03-29,27
Death Cab for Cutie,POINT(-110.926479 32.2217429),Tucson,-110.926479,32.2217429,Fuji Rock,2019-03-30,28
Death Cab for Cutie,POINT(-106.651 35.084),Albuquerque,-106.651,35.084,Fuji Rock,2019-03-31,29
Death Cab for Cutie,POINT(-98.4936282 29.4241219),San Antonio,-98.4936282,29.4241219,Fuji Rock,2019-04-02,30
Death Cab for Cutie,POINT(-95.3632715 29.7632836),Houston,-95.3632715,29.7632836,Fuji Rock,2019-04-03,31
Death Cab for Cutie,POINT(-95.992775 36.1539816),Tulsa,-95.992775,36.1539816,Fuji Rock,2019-04-04,32
Death Cab for Cutie,POINT(-97.5164276 35.4675602),Oklahoma City,-97.5164276,35.4675602,Fuji Rock,2019-04-06,33
